numpoints,d0,d2,d3,d4
 10,0.6034,0.6704,0.8202,0.8347
 11,0.4737,0.6880,0.7895,0.9047
 12,0.5261,0.6280,0.7709,0.8711
 13,0.4953,0.5561,0.7696,0.9218
 14,0.4029,0.5703,0.7108,0.8921
 15,0.5023,0.6244,0.6836,0.8592
 16,0.3602,0.5793,0.7526,0.7972
 17,0.3889,0.5479,0.7042,0.7783
 18,0.3417,0.5693,0.7728,0.8247
 19,0.2972,0.5180,0.6502,0.8177
 20,0.3614,0.5148,0.7106,0.8782
 21,0.3354,0.5946,0.6058,0.8167
 22,0.3753,0.4581,0.6652,0.7211
 23,0.2450,0.4506,0.6479,0.7626
 24,0.4005,0.6226,0.6391,0.8040
 25,0.2844,0.4584,0.6385,0.7111
 26,0.2611,0.4496,0.6246,0.6874
 27,0.2657,0.4189,0.6413,0.8018
 28,0.3048,0.4516,0.6154,0.7095
 29,0.2642,0.4738,0.6419,0.7003
 30,0.3094,0.5063,0.5574,0.7729
 31,0.2272,0.4156,0.6636,0.7370
 32,0.2606,0.4359,0.5620,0.7433
 33,0.2622,0.3488,0.5540,0.6651
 34,0.2590,0.3573,0.5766,0.7921
 35,0.2062,0.4539,0.6799,0.6761
 36,0.2321,0.3393,0.5941,0.6905
 37,0.1851,0.3869,0.5353,0.6528
 38,0.1704,0.3846,0.5196,0.7377
 39,0.2115,0.3362,0.5743,0.7010
 40,0.1572,0.4023,0.5540,0.7114
 41,0.2090,0.4007,0.6133,0.7151
 42,0.1953,0.3938,0.5404,0.7474
 43,0.1943,0.3770,0.5104,0.6576
 44,0.2038,0.3738,0.5049,0.6854
 45,0.1845,0.3649,0.5424,0.6510
 46,0.1603,0.3313,0.5409,0.6358
 47,0.1655,0.3457,0.5874,0.6512
 48,0.1664,0.3469,0.5310,0.6519
 49,0.1795,0.3701,0.4972,0.6145
 50,0.1620,0.3181,0.4966,0.6350
 51,0.1816,0.3719,0.5176,0.6241
 52,0.1922,0.3544,0.5227,0.6367
 53,0.1624,0.3804,0.5282,0.6198
 54,0.1454,0.3157,0.4796,0.6176
 55,0.1780,0.3134,0.4738,0.6259
 56,0.1253,0.3078,0.4711,0.6344
 57,0.1460,0.3526,0.4462,0.6544
 58,0.1195,0.3111,0.4692,0.6357
 59,0.1831,0.2871,0.5197,0.6106
 60,0.1525,0.3312,0.5146,0.6090
 61,0.1295,0.3092,0.4608,0.6196
 62,0.1237,0.2659,0.4658,0.6233
 63,0.1185,0.2994,0.4671,0.5828
 64,0.1365,0.3172,0.4968,0.6240
 65,0.1450,0.2964,0.4402,0.6876
 66,0.1295,0.3116,0.4648,0.6164
 67,0.1212,0.3224,0.4501,0.6421
 68,0.1480,0.2581,0.4609,0.5619
 69,0.1226,0.2787,0.4050,0.5693
 70,0.1270,0.2951,0.4749,0.5790
 71,0.1160,0.3102,0.4569,0.5644
 72,0.1292,0.2889,0.4429,0.6196
 73,0.1391,0.3308,0.5619,0.6126
 74,0.1388,0.2858,0.4557,0.6062
 75,0.1483,0.3011,0.4651,0.6478
 76,0.1274,0.2780,0.4030,0.5273
 77,0.1022,0.2956,0.4376,0.6015
 78,0.1236,0.2526,0.4209,0.6034
 79,0.1077,0.2666,0.4048,0.6331
 80,0.0962,0.2815,0.4359,0.5318
 81,0.1120,0.2203,0.4843,0.5724
 82,0.1347,0.2713,0.4221,0.5867
 83,0.1288,0.2510,0.4268,0.5672
 84,0.1183,0.2677,0.4373,0.5438
 85,0.1194,0.3039,0.4666,0.5775
 86,0.1127,0.2466,0.4898,0.6037
 87,0.1029,0.2908,0.4099,0.5897
 88,0.1022,0.2696,0.4211,0.5380
 89,0.0960,0.2394,0.4333,0.5729
 90,0.0920,0.2595,0.3954,0.6058
 91,0.1277,0.2567,0.4091,0.5605
 92,0.1009,0.2854,0.4398,0.5458
 93,0.0872,0.2615,0.3989,0.5360
 94,0.0943,0.2240,0.4289,0.5520
 95,0.0995,0.2367,0.3919,0.5761
 96,0.1117,0.2814,0.4119,0.5309
 97,0.1006,0.2572,0.4245,0.5264
 98,0.0890,0.2247,0.3735,0.5572
 99,0.0982,0.2432,0.4280,0.5128
100,0.1060,0.2934,0.3696,0.5231
