Average Max Weight of 100 trials 

numpoints      d0         d2          d3          d4 
   10        0.2538     0.4225      0.5753      0.6723 
   11        0.2598     0.4117      0.5540      0.6614 
   12        0.2268     0.3904      0.5245      0.6432 
   13        0.2358     0.4025      0.5219      0.6341 
   14        0.2300     0.3821      0.5207      0.6345 
   15        0.2187     0.3752      0.5164      0.6432 
   16        0.1917     0.3540      0.5075      0.6229 
   17        0.1924     0.3561      0.4862      0.6027 
   18        0.1928     0.3473      0.4685      0.5827 
   19        0.1808     0.3416      0.4915      0.6073 
   20        0.1629     0.3352      0.4738      0.5991 
   21        0.1629     0.3191      0.4652      0.5861 
   22        0.1572     0.3270      0.4713      0.5866 
   23        0.1638     0.3052      0.4488      0.5601 
   24        0.1562     0.3090      0.4446      0.5679 
   25        0.1391     0.3010      0.4365      0.5601 
   26        0.1383     0.3004      0.4420      0.5788 
   27        0.1338     0.2916      0.4389      0.5572 
   28        0.1288     0.2873      0.4287      0.5458 
   29        0.1350     0.2830      0.4226      0.5395 
   30        0.1265     0.2813      0.4195      0.5591 
   31        0.1204     0.2736      0.4113      0.5355 
   32        0.1194     0.2724      0.4052      0.5396 
   33        0.1188     0.2610      0.4048      0.5305 
   34        0.1157     0.2650      0.4112      0.5281 
   35        0.1106     0.2680      0.4097      0.5295 
   36        0.1105     0.2609      0.3976      0.5276 
   37        0.1132     0.2525      0.3955      0.5207 
   38        0.1093     0.2523      0.3909      0.5233 
   39        0.1047     0.2486      0.3910      0.5170 
   40        0.1033     0.2443      0.3827      0.5106 
   41        0.1028     0.2452      0.3782      0.5089 
   42        0.0978     0.2402      0.3818      0.5007 
   43        0.0974     0.2453      0.3756      0.4953 
   44        0.0964     0.2395      0.3800      0.5048 
   45        0.1012     0.2383      0.3818      0.4962 
   46        0.0928     0.2300      0.3664      0.4950 
   47        0.0926     0.2293      0.3703      0.4956 
   48        0.0882     0.2278      0.3755      0.4959 
   49        0.0897     0.2268      0.3719      0.4913 
   50        0.0891     0.2243      0.3624      0.4884 
   51        0.0849     0.2244      0.3562      0.4890 
   52        0.0835     0.2218      0.3555      0.4846 
   53        0.0824     0.2220      0.3558      0.4884 
   54        0.0832     0.2197      0.3475      0.4857 
   55        0.0806     0.2160      0.3569      0.4858 
   56        0.0779     0.2143      0.3493      0.4735 
   57        0.0792     0.2119      0.3496      0.4745 
   58        0.0810     0.2072      0.3495      0.4651 
   59        0.0803     0.2094      0.3423      0.4687 
   60        0.0768     0.2056      0.3492      0.4622 
   61        0.0736     0.2070      0.3413      0.4710 
   62        0.0758     0.2094      0.3339      0.4634 
   63        0.0699     0.2080      0.3377      0.4590 
   64        0.0752     0.2011      0.3400      0.4647 
   65        0.0719     0.2015      0.3323      0.4592 
   66        0.0707     0.1981      0.3326      0.4591 
   67        0.0707     0.1949      0.3332      0.4585 
   68        0.0687     0.1981      0.3344      0.4605 
   69        0.0671     0.1927      0.3297      0.4523 
   70        0.0660     0.1917      0.3260      0.4493 
   71        0.0710     0.1910      0.3252      0.4486 
   72        0.0647     0.1925      0.3192      0.4507 
   73        0.0655     0.1909      0.3249      0.4531 
   74        0.0647     0.1884      0.3162      0.4441 
   75        0.0643     0.1849      0.3210      0.4460 
   76        0.0615     0.1908      0.3275      0.4438 
   77        0.0613     0.1841      0.3149      0.4322 
   78        0.0613     0.1851      0.3218      0.4448 
   79        0.0600     0.1833      0.3235      0.4289 
   80        0.0590     0.1799      0.3154      0.4330 
   81        0.0596     0.1831      0.3115      0.4443 
   82        0.0600     0.1784      0.3119      0.4351 
   83        0.0586     0.1797      0.3088      0.4396 
   84        0.0587     0.1767      0.3127      0.4309 
   85        0.0591     0.1777      0.3115      0.4438 
   86        0.0583     0.1743      0.3087      0.4348 
   87        0.0558     0.1769      0.3024      0.4301 
   88        0.0547     0.1703      0.3100      0.4300 
   89        0.0546     0.1741      0.3150      0.4355 
   90        0.0535     0.1740      0.3041      0.4309 
   91        0.0538     0.1706      0.3079      0.4262 
   92        0.0535     0.1701      0.3016      0.4301 
   93        0.0563     0.1684      0.3063      0.4272 
   94        0.0539     0.1664      0.3029      0.4220 
   95        0.0520     0.1679      0.3020      0.4218 
   96        0.0519     0.1670      0.2918      0.4226 
   97        0.0510     0.1672      0.2997      0.4199 
   98        0.0506     0.1620      0.3037      0.4194 
   99        0.0542     0.1642      0.3075      0.4226 
  100        0.0512     0.1657      0.3004      0.4126 
