numpoints,d0,d2,d3,d4
 10,0.3043,0.4190,0.5613,0.6716
 11,0.2562,0.4065,0.5471,0.6590
 12,0.2595,0.4069,0.5351,0.6640
 13,0.2333,0.4019,0.5314,0.6425
 14,0.1968,0.3880,0.5236,0.6411
 15,0.2020,0.3672,0.5168,0.6181
 16,0.2042,0.3524,0.4985,0.6185
 17,0.1926,0.3571,0.4871,0.6216
 18,0.1910,0.3476,0.4877,0.5993
 19,0.1704,0.3341,0.4642,0.6008
 20,0.1714,0.3223,0.4708,0.5953
 21,0.1695,0.3340,0.4694,0.5787
 22,0.1575,0.3170,0.4539,0.5873
 23,0.1535,0.3138,0.4638,0.5887
 24,0.1515,0.3012,0.4413,0.5505
 25,0.1437,0.3088,0.4470,0.5779
 26,0.1390,0.2891,0.4411,0.5566
 27,0.1316,0.2986,0.4292,0.5518
 28,0.1348,0.2877,0.4318,0.5424
 29,0.1261,0.2803,0.4261,0.5562
 30,0.1311,0.2815,0.4309,0.5420
 31,0.1210,0.2841,0.4212,0.5410
 32,0.1186,0.2780,0.4126,0.5375
 33,0.1204,0.2661,0.4078,0.5223
 34,0.1153,0.2646,0.4109,0.5203
 35,0.1119,0.2552,0.4026,0.5278
 36,0.1117,0.2614,0.3980,0.5278
 37,0.1113,0.2523,0.3916,0.5100
 38,0.1057,0.2509,0.3963,0.5267
 39,0.1067,0.2491,0.3868,0.5148
 40,0.1070,0.2462,0.3891,0.5151
 41,0.1004,0.2406,0.3911,0.5095
 42,0.1011,0.2409,0.3795,0.5018
 43,0.0987,0.2426,0.3812,0.5004
 44,0.0960,0.2382,0.3728,0.4937
 45,0.0896,0.2317,0.3734,0.5049
 46,0.0924,0.2341,0.3630,0.4847
 47,0.0941,0.2312,0.3635,0.4986
 48,0.0929,0.2299,0.3652,0.4912
 49,0.0901,0.2309,0.3654,0.4911
 50,0.0869,0.2267,0.3593,0.4964
 51,0.0879,0.2231,0.3641,0.4841
 52,0.0906,0.2225,0.3657,0.4917
 53,0.0814,0.2197,0.3594,0.4858
 54,0.0839,0.2231,0.3621,0.4724
 55,0.0814,0.2169,0.3489,0.4693
 56,0.0787,0.2151,0.3468,0.4829
 57,0.0865,0.2083,0.3467,0.4732
 58,0.0764,0.2110,0.3431,0.4771
 59,0.0782,0.2080,0.3472,0.4720
 60,0.0737,0.2083,0.3499,0.4699
 61,0.0761,0.2049,0.3364,0.4627
 62,0.0717,0.2004,0.3407,0.4747
 63,0.0763,0.2031,0.3378,0.4559
 64,0.0724,0.1992,0.3317,0.4578
 65,0.0690,0.1946,0.3280,0.4627
 66,0.0690,0.1990,0.3269,0.4565
 67,0.0695,0.1928,0.3299,0.4628
 68,0.0704,0.2005,0.3352,0.4584
 69,0.0716,0.1889,0.3319,0.4565
 70,0.0681,0.1922,0.3339,0.4524
 71,0.0694,0.1938,0.3346,0.4517
 72,0.0681,0.1927,0.3276,0.4565
 73,0.0651,0.1910,0.3252,0.4526
 74,0.0639,0.1857,0.3294,0.4473
 75,0.0647,0.1792,0.3281,0.4488
 76,0.0663,0.1871,0.3211,0.4548
 77,0.0638,0.1911,0.3162,0.4436
 78,0.0625,0.1847,0.3289,0.4443
 79,0.0597,0.1836,0.3127,0.4342
 80,0.0594,0.1825,0.3140,0.4380
 81,0.0619,0.1792,0.3173,0.4391
 82,0.0618,0.1764,0.3132,0.4347
 83,0.0580,0.1787,0.3120,0.4411
 84,0.0603,0.1759,0.3108,0.4338
 85,0.0583,0.1758,0.3081,0.4293
 86,0.0568,0.1773,0.3172,0.4296
 87,0.0587,0.1741,0.3116,0.4315
 88,0.0572,0.1761,0.2992,0.4389
 89,0.0574,0.1695,0.3109,0.4289
 90,0.0546,0.1741,0.3053,0.4219
 91,0.0538,0.1731,0.3014,0.4296
 92,0.0539,0.1679,0.3061,0.4232
 93,0.0524,0.1701,0.3003,0.4198
 94,0.0529,0.1680,0.3034,0.4215
 95,0.0540,0.1663,0.3010,0.4250
 96,0.0552,0.1695,0.2983,0.4245
 97,0.0501,0.1692,0.2996,0.4213
 98,0.0501,0.1661,0.3047,0.4177
 99,0.0517,0.1716,0.2961,0.4229
100,0.0507,0.1659,0.2894,0.4187
