numpoints,d0,d2,d3,d4
 10,0.5787,0.7412,0.8844,0.9314
 11,0.5083,0.6660,0.8446,0.9686
 12,0.4146,0.7299,0.8182,0.8141
 13,0.4424,0.5367,0.7179,0.9039
 14,0.4769,0.6691,0.7061,0.8147
 15,0.4057,0.5798,0.7606,0.8264
 16,0.3641,0.5933,0.7153,0.8152
 17,0.4927,0.4895,0.6999,0.7668
 18,0.3868,0.4936,0.7389,0.8095
 19,0.3861,0.4869,0.6920,0.7645
 20,0.3899,0.5090,0.6630,0.7340
 21,0.2988,0.4409,0.6387,0.8366
 22,0.2808,0.4814,0.6081,0.8370
 23,0.2810,0.5138,0.6758,0.8185
 24,0.2856,0.5155,0.6986,0.8203
 25,0.3112,0.4258,0.5973,0.7765
 26,0.2856,0.4758,0.5971,0.6901
 27,0.2329,0.4226,0.6174,0.7577
 28,0.2360,0.4215,0.6661,0.7648
 29,0.2558,0.4234,0.5845,0.7252
 30,0.2761,0.4698,0.6213,0.6600
 31,0.2285,0.4147,0.5400,0.7494
 32,0.2285,0.4022,0.5381,0.6969
 33,0.2184,0.3560,0.6124,0.6952
 34,0.2563,0.4026,0.6137,0.7492
 35,0.1882,0.4158,0.5672,0.7119
 36,0.2256,0.4277,0.5232,0.6927
 37,0.2235,0.4032,0.6097,0.6877
 38,0.2222,0.4135,0.5576,0.6279
 39,0.1890,0.4320,0.5433,0.6249
 40,0.2424,0.3609,0.5560,0.6737
 41,0.1687,0.3851,0.5279,0.7489
 42,0.2436,0.3135,0.4942,0.6449
 43,0.2297,0.3415,0.5247,0.6535
 44,0.1664,0.3558,0.5396,0.6644
 45,0.1717,0.3932,0.5293,0.6235
 46,0.2291,0.3212,0.5473,0.6894
 47,0.1651,0.3685,0.5757,0.6097
 48,0.1700,0.3379,0.4868,0.6678
 49,0.1565,0.3354,0.5270,0.6547
 50,0.1569,0.3381,0.5068,0.6076
 51,0.1597,0.3063,0.5151,0.6099
 52,0.1507,0.3380,0.5602,0.7000
 53,0.1393,0.3416,0.5073,0.6803
 54,0.1537,0.2932,0.4867,0.6540
 55,0.1371,0.3270,0.4741,0.6749
 56,0.1347,0.2970,0.4864,0.5821
 57,0.2123,0.2787,0.5000,0.6145
 58,0.1302,0.3286,0.4548,0.6094
 59,0.1454,0.3542,0.4938,0.6297
 60,0.1127,0.3422,0.4535,0.6493
 61,0.1579,0.2960,0.5217,0.6048
 62,0.1600,0.2800,0.4588,0.6126
 63,0.1873,0.3244,0.5646,0.5720
 64,0.1388,0.3248,0.4572,0.5670
 65,0.1369,0.3381,0.4902,0.6258
 66,0.1224,0.3123,0.4501,0.6604
 67,0.1257,0.2512,0.4579,0.5837
 68,0.1360,0.2867,0.4570,0.5695
 69,0.1134,0.2734,0.4701,0.6093
 70,0.1634,0.2948,0.4656,0.5810
 71,0.1050,0.2942,0.4416,0.5818
 72,0.1178,0.2685,0.4082,0.6222
 73,0.0975,0.3031,0.4159,0.5482
 74,0.1276,0.2736,0.4661,0.6067
 75,0.1506,0.2500,0.4675,0.5648
 76,0.1159,0.2664,0.4247,0.5826
 77,0.1184,0.2961,0.4836,0.5762
 78,0.1070,0.2929,0.4219,0.6044
 79,0.1081,0.2531,0.4667,0.5442
 80,0.1041,0.2744,0.4712,0.5736
 81,0.1180,0.2647,0.4468,0.5479
 82,0.1032,0.2485,0.4027,0.5917
 83,0.1056,0.2422,0.4185,0.6183
 84,0.1088,0.3024,0.4034,0.5304
 85,0.1189,0.2709,0.4554,0.5282
 86,0.0990,0.2722,0.3978,0.5600
 87,0.1109,0.2805,0.4380,0.5522
 88,0.1173,0.2572,0.4208,0.5597
 89,0.1046,0.3276,0.4415,0.5605
 90,0.0915,0.2554,0.4206,0.5616
 91,0.1076,0.2615,0.4265,0.5338
 92,0.0971,0.2599,0.3885,0.5199
 93,0.0842,0.2703,0.3846,0.5457
 94,0.1010,0.3010,0.4159,0.5658
 95,0.1002,0.3560,0.4184,0.5553
 96,0.0867,0.2406,0.4326,0.5803
 97,0.0903,0.2481,0.4042,0.5775
 98,0.1055,0.2183,0.4127,0.5701
 99,0.1039,0.2620,0.4480,0.5422
100,0.0842,0.2869,0.4647,0.5556
