numpoints,dim,trials,avgweight,avgtime/trial
16,0,10000,1.156588,0.000000
32,0,10000,1.184992,0.000300
64,0,5000,1.191658,0.000800
128,0,1000,1.203978,0.002000
256,0,300,1.203222,0.010000
512,0,300,1.205161,0.003333
1024,0,100,1.210444,0.020000
2048,0,30,1.204132,0.033333
4096,0,10,1.193288,0.100000
8192,0,5,1.199238,0.400000
16384,0,5,1.203346,1.400000
32768,0,5,1.203170,5.600000
65536,0,5,1.202927,21.800000
16,2,10000,2.706947,0.000100
32,2,10000,3.861921,0.000300
64,2,5000,5.433568,0.001000
128,2,1000,7.612868,0.005000
256,2,300,10.680196,0.020000
512,2,300,14.982530,0.013333
1024,2,100,21.080511,0.030000
2048,2,30,29.639332,0.100000
4096,2,10,41.676666,0.300000
8192,2,5,58.819538,1.200000
16384,2,5,83.127167,4.600000
32768,2,5,117.585678,18.000000
65536,2,5,166.020844,78.200000
16,3,10000,4.511162,0.000100
32,3,10000,7.166862,0.000300
64,3,5000,11.255388,0.001200
128,3,1000,17.600801,0.005000
256,3,300,27.607473,0.020000
512,3,300,43.397678,0.016667
1024,3,100,68.121613,0.050000
2048,3,30,107.188408,0.133333
4096,3,10,169.101974,0.400000
8192,3,5,267.806183,1.800000
16384,3,5,423.052734,6.400000
32768,3,5,667.955505,25.800000
65536,3,5,1058.974243,103.600000
16,4,10000,6.137181,0.000000
32,4,10000,10.319945,0.000400
64,4,5000,17.146194,0.001400
128,4,1000,28.460093,0.005000
256,4,300,47.136620,0.020000
512,4,300,78.147415,0.033333
1024,4,100,130.106644,0.070000
2048,4,30,216.480087,0.166667
4096,4,10,360.339966,0.500000
8192,4,5,603.253052,2.200000
16384,4,5,1008.771790,8.000000
32768,4,5,1688.650024,30.600000
65536,4,5,2829.117676,123.200000
