Average Max Weight of 100 trials in 0 dimension 

numpoints   avgmaxweight 
   10         0.2570 
   11         0.2520 
   12         0.2302 
   13         0.2225 
   14         0.2112 
   15         0.2115 
   16         0.1987 
   17         0.1875 
   18         0.1905 
   19         0.1783 
   20         0.1667 
   21         0.1651 
   22         0.1577 
   23         0.1589 
   24         0.1463 
   25         0.1433 
   26         0.1443 
   27         0.1412 
   28         0.1328 
   29         0.1335 
   30         0.1250 
   31         0.1189 
   32         0.1262 
   33         0.1238 
   34         0.1171 
   35         0.1203 
   36         0.1150 
   37         0.1115 
   38         0.1065 
   39         0.1035 
   40         0.0951 
   41         0.1036 
   42         0.1000 
   43         0.0989 
   44         0.1023 
   45         0.0924 
   46         0.0946 
   47         0.0929 
   48         0.0881 
   49         0.0879 
   50         0.0891 
   51         0.0897 
   52         0.0891 
   53         0.0877 
   54         0.0855 
   55         0.0828 
   56         0.0780 
   57         0.0785 
   58         0.0797 
   59         0.0778 
   60         0.0731 
   61         0.0788 
   62         0.0752 
   63         0.0734 
   64         0.0691 
   65         0.0716 
   66         0.0692 
   67         0.0698 
   68         0.0689 
   69         0.0678 
   70         0.0648 
   71         0.0666 
   72         0.0627 
   73         0.0648 
   74         0.0678 
   75         0.0655 
   76         0.0622 
   77         0.0658 
   78         0.0601 
   79         0.0600 
   80         0.0622 
   81         0.0605 
   82         0.0606 
   83         0.0579 
   84         0.0585 
   85         0.0570 
   86         0.0559 
   87         0.0549 
   88         0.0536 
   89         0.0553 
   90         0.0561 
   91         0.0546 
   92         0.0551 
   93         0.0544 
   94         0.0524 
   95         0.0539 
   96         0.0538 
   97         0.0511 
   98         0.0528 
   99         0.0502 
  100         0.0498 
